Date	Open	High	Low	Close 	Adj Close 	Volume
Mar 2, 2026	6,824.36	6,901.01	6,796.85	6,881.62	6,881.62	6,079,080,000
Feb 27, 2026	6,856.54	6,882.96	6,831.74	6,878.88	6,878.88	6,665,660,000
Feb 26, 2026	6,944.74	6,947.25	6,859.73	6,908.86	6,908.86	5,889,550,000
Feb 25, 2026	6,915.15	6,952.51	6,915.15	6,946.13	6,946.13	5,328,060,000
Feb 24, 2026	6,837.37	6,899.17	6,815.43	6,890.07	6,890.07	5,266,090,000
Feb 23, 2026	6,901.25	6,916.96	6,819.82	6,837.75	6,837.75	5,638,350,000
Feb 20, 2026	6,843.26	6,915.86	6,836.33	6,909.51	6,909.51	5,432,480,000
Feb 19, 2026	6,861.34	6,879.12	6,833.06	6,861.89	6,861.89	5,151,690,000
Feb 18, 2026	6,855.48	6,909.12	6,849.66	6,881.31	6,881.31	5,098,160,000
Feb 17, 2026	6,819.86	6,866.99	6,775.50	6,843.22	6,843.22	5,418,480,000
Feb 13, 2026	6,834.27	6,881.96	6,794.55	6,836.17	6,836.17	5,718,360,000
Feb 12, 2026	6,957.54	6,973.22	6,824.04	6,832.76	6,832.76	7,118,700,000
Feb 11, 2026	6,976.48	6,993.48	6,911.97	6,941.47	6,941.47	6,175,510,000
Feb 10, 2026	6,974.49	6,986.83	6,937.53	6,941.81	6,941.81	5,595,950,000
Feb 9, 2026	6,917.26	6,980.10	6,905.87	6,964.82	6,964.82	5,650,260,000
Feb 6, 2026	6,816.74	6,944.89	6,816.74	6,932.30	6,932.30	6,283,680,000
Feb 5, 2026	6,837.39	6,857.85	6,780.13	6,798.40	6,798.40	6,989,120,000
Feb 4, 2026	6,924.50	6,936.09	6,838.80	6,882.72	6,882.72	7,475,750,000
Feb 3, 2026	6,985.45	6,993.08	6,862.05	6,917.81	6,917.81	7,017,660,000
Feb 2, 2026	6,916.64	6,991.92	6,914.34	6,976.44	6,976.44	5,772,050,000
Jan 30, 2026	6,947.27	6,964.09	6,893.48	6,939.03	6,939.03	6,697,340,000
Jan 29, 2026	6,977.74	6,992.84	6,870.80	6,969.01	6,969.01	6,877,780,000
Jan 28, 2026	7,002.00	7,002.28	6,963.46	6,978.03	6,978.03	5,507,670,000
Jan 27, 2026	6,965.96	6,988.82	6,958.83	6,978.60	6,978.60	5,331,720,000
Jan 26, 2026	6,923.23	6,964.66	6,921.60	6,950.23	6,950.23	4,968,050,000
Jan 23, 2026	6,907.85	6,932.96	6,895.50	6,915.61	6,915.61	4,871,930,000
Jan 22, 2026	6,914.44	6,934.75	6,893.62	6,913.35	6,913.35	5,307,580,000
Jan 21, 2026	6,810.71	6,910.39	6,804.96	6,875.62	6,875.62	5,835,520,000
Jan 20, 2026	6,865.24	6,871.17	6,789.05	6,796.86	6,796.86	5,769,500,000
Jan 16, 2026	6,960.54	6,967.30	6,925.09	6,940.01	6,940.01	5,356,550,000
Jan 15, 2026	6,969.46	6,979.34	6,937.93	6,944.47	6,944.47	5,114,050,000
Jan 14, 2026	6,937.41	6,941.30	6,885.74	6,926.60	6,926.60	5,530,830,000
Jan 13, 2026	6,977.41	6,985.83	6,938.77	6,963.74	6,963.74	5,091,730,000
Jan 12, 2026	6,944.12	6,986.33	6,934.07	6,977.27	6,977.27	5,019,040,000
Jan 9, 2026	6,927.83	6,978.36	6,917.64	6,966.28	6,966.28	5,163,900,000
Jan 8, 2026	6,914.11	6,931.28	6,899.33	6,921.46	6,921.46	5,333,200,000
Jan 7, 2026	6,945.07	6,965.69	6,919.19	6,920.93	6,920.93	5,214,480,000
Jan 6, 2026	6,908.03	6,948.69	6,904.02	6,944.82	6,944.82	5,509,680,000
Jan 5, 2026	6,892.19	6,920.38	6,891.56	6,902.05	6,902.05	5,771,930,000
Jan 2, 2026	6,878.11	6,894.87	6,824.31	6,858.47	6,858.47	4,184,120,000
Dec 31, 2025	6,898.82	6,901.42	6,844.55	6,845.50	6,845.50	3,261,830,000
Dec 30, 2025	6,900.44	6,913.25	6,893.47	6,896.24	6,896.24	3,309,930,000
Dec 29, 2025	6,903.60	6,920.21	6,888.76	6,905.74	6,905.74	3,541,750,000
Dec 26, 2025	6,936.02	6,945.77	6,921.60	6,929.94	6,929.94	2,586,550,000
Dec 24, 2025	6,904.91	6,937.32	6,904.91	6,932.05	6,932.05	1,798,270,000
Dec 23, 2025	6,872.41	6,910.88	6,868.81	6,909.79	6,909.79	3,820,560,000
Dec 22, 2025	6,865.21	6,882.03	6,855.74	6,878.49	6,878.49	4,465,030,000
Dec 19, 2025	6,792.62	6,840.02	6,792.62	6,834.50	6,834.50	8,554,470,000
Dec 18, 2025	6,778.06	6,816.13	6,758.50	6,774.76	6,774.76	5,101,190,000
Dec 17, 2025	6,802.88	6,812.26	6,720.43	6,721.43	6,721.43	5,122,120,000
Dec 16, 2025	6,800.12	6,819.27	6,759.74	6,800.26	6,800.26	4,983,180,000
Dec 15, 2025	6,860.19	6,861.59	6,801.49	6,816.51	6,816.51	4,975,600,000
Dec 12, 2025	6,886.85	6,899.85	6,801.79	6,827.41	6,827.41	4,910,160,000
Dec 11, 2025	6,861.30	6,903.46	6,833.45	6,901.00	6,901.00	5,021,060,000
Dec 10, 2025	6,833.49	6,900.67	6,824.69	6,886.68	6,886.68	5,526,570,000
Dec 9, 2025	6,840.61	6,864.92	6,837.43	6,840.51	6,840.51	4,508,050,000
Dec 8, 2025	6,875.20	6,878.27	6,827.19	6,846.51	6,846.51	4,757,130,000
Dec 5, 2025	6,866.32	6,895.78	6,858.29	6,870.40	6,870.40	4,944,560,000
Dec 4, 2025	6,866.47	6,866.47	6,827.12	6,857.12	6,857.12	4,872,440,000
Dec 3, 2025	6,815.29	6,862.42	6,810.43	6,849.72	6,849.72	4,736,780,000
Dec 2, 2025	6,830.96	6,851.55	6,806.71	6,829.37	6,829.37	4,582,290,000
Dec 1, 2025	6,812.30	6,843.65	6,799.94	6,812.63	6,812.63	4,549,370,000
Nov 28, 2025	6,822.52	6,850.86	6,819.75	6,849.09	6,849.09	2,558,540,000
Nov 26, 2025	6,793.55	6,831.44	6,783.87	6,812.61	6,812.61	4,485,000,000
Nov 25, 2025	6,697.03	6,776.40	6,659.98	6,765.88	6,765.88	5,003,330,000
Nov 24, 2025	6,636.54	6,715.75	6,630.70	6,705.12	6,705.12	6,039,740,000
Nov 21, 2025	6,555.77	6,660.05	6,521.92	6,602.99	6,602.99	5,929,930,000
Nov 20, 2025	6,737.93	6,770.35	6,534.05	6,538.76	6,538.76	5,596,080,000
Nov 19, 2025	6,625.84	6,689.75	6,603.50	6,642.16	6,642.16	5,021,610,000
Nov 18, 2025	6,641.19	6,666.63	6,574.32	6,617.32	6,617.32	5,159,390,000
Nov 17, 2025	6,713.61	6,754.50	6,638.90	6,672.41	6,672.41	5,204,220,000
Nov 14, 2025	6,672.14	6,774.31	6,646.87	6,734.11	6,734.11	5,042,660,000
Nov 13, 2025	6,826.47	6,828.05	6,724.72	6,737.49	6,737.49	5,473,720,000
Nov 12, 2025	6,867.77	6,869.91	6,829.62	6,850.92	6,850.92	5,293,610,000
Nov 11, 2025	6,815.64	6,855.13	6,806.87	6,846.61	6,846.61	4,983,490,000
Nov 10, 2025	6,785.36	6,841.32	6,770.56	6,832.43	6,832.43	5,366,050,000
Nov 7, 2025	6,696.18	6,730.11	6,631.44	6,728.80	6,728.80	5,926,070,000
Nov 6, 2025	6,787.59	6,796.68	6,707.51	6,720.32	6,720.32	6,051,900,000
Nov 5, 2025	6,769.77	6,829.78	6,763.11	6,796.29	6,796.29	5,939,600,000
Nov 4, 2025	6,788.52	6,820.21	6,766.71	6,771.55	6,771.55	5,739,510,000
Nov 3, 2025	6,882.32	6,882.32	6,820.62	6,851.97	6,851.97	6,065,720,000
Oct 31, 2025	6,879.17	6,879.17	6,814.26	6,840.20	6,840.20	6,398,280,000
Oct 30, 2025	6,860.50	6,880.75	6,820.69	6,822.34	6,822.34	6,052,700,000
Oct 29, 2025	6,910.95	6,920.34	6,851.91	6,890.59	6,890.59	6,280,130,000
Oct 28, 2025	6,897.74	6,911.30	6,870.73	6,890.89	6,890.89	5,695,930,000
Oct 27, 2025	6,845.46	6,877.28	6,843.94	6,875.16	6,875.16	5,290,650,000
Oct 24, 2025	6,772.07	6,807.11	6,772.07	6,791.69	6,791.69	5,058,220,000
Oct 23, 2025	6,703.65	6,749.53	6,700.14	6,738.44	6,738.44	5,565,750,000
Oct 22, 2025	6,741.34	6,741.75	6,655.69	6,699.40	6,699.40	5,710,010,000
Oct 21, 2025	6,736.75	6,752.16	6,722.03	6,735.35	6,735.35	5,245,020,000
Oct 20, 2025	6,690.05	6,744.35	6,690.05	6,735.13	6,735.13	4,672,170,000
Oct 17, 2025	6,613.27	6,678.88	6,603.76	6,664.01	6,664.01	5,358,120,000
Oct 16, 2025	6,689.02	6,709.34	6,593.99	6,629.07	6,629.07	6,048,180,000
Oct 15, 2025	6,688.27	6,724.12	6,612.11	6,671.06	6,671.06	5,633,060,000
Oct 14, 2025	6,602.49	6,680.70	6,555.07	6,644.31	6,644.31	5,666,920,000
Oct 13, 2025	6,622.53	6,668.68	6,620.71	6,654.72	6,654.72	5,303,960,000
Oct 10, 2025	6,740.49	6,762.40	6,550.78	6,552.51	6,552.51	6,596,610,000
Oct 9, 2025	6,760.50	6,764.58	6,716.17	6,735.11	6,735.11	5,385,020,000
Oct 8, 2025	6,723.87	6,755.64	6,718.09	6,753.72	6,753.72	5,383,130,000
Oct 7, 2025	6,746.14	6,754.49	6,699.96	6,714.59	6,714.59	5,546,150,000
Oct 6, 2025	6,733.86	6,749.52	6,717.78	6,740.28	6,740.28	5,604,460,000
Oct 3, 2025	6,722.14	6,750.87	6,705.67	6,715.79	6,715.79	5,713,110,000
Oct 2, 2025	6,731.31	6,731.94	6,693.23	6,715.35	6,715.35	5,416,130,000
Oct 1, 2025	6,664.92	6,718.48	6,656.20	6,711.20	6,711.20	6,037,950,000
Sep 30, 2025	6,656.19	6,691.25	6,641.00	6,688.46	6,688.46	6,057,210,000
Sep 29, 2025	6,661.58	6,677.31	6,644.49	6,661.21	6,661.21	5,358,760,000
Sep 26, 2025	6,615.38	6,648.97	6,604.43	6,643.70	6,643.70	5,103,110,000
Sep 25, 2025	6,608.19	6,619.00	6,569.22	6,604.72	6,604.72	5,874,670,000
Sep 24, 2025	6,669.79	6,672.66	6,621.76	6,637.97	6,637.97	5,459,180,000
Sep 23, 2025	6,692.44	6,699.52	6,645.58	6,656.92	6,656.92	5,633,620,000
Sep 22, 2025	6,654.28	6,698.88	6,648.07	6,693.75	6,693.75	5,642,620,000
Sep 19, 2025	6,647.11	6,671.82	6,630.31	6,664.36	6,664.36	9,125,960,000
Sep 18, 2025	6,626.85	6,656.80	6,611.89	6,631.96	6,631.96	5,292,400,000
Sep 17, 2025	6,604.87	6,624.39	6,551.15	6,600.35	6,600.35	5,805,340,000
Sep 16, 2025	6,624.13	6,626.99	6,600.11	6,606.76	6,606.76	5,359,510,000
Sep 15, 2025	6,603.49	6,619.62	6,602.07	6,615.28	6,615.28	5,045,020,000
Sep 12, 2025	6,590.66	6,600.21	6,579.49	6,584.29	6,584.29	4,641,640,000
Sep 11, 2025	6,554.41	6,592.89	6,545.80	6,587.47	6,587.47	5,426,460,000
Sep 10, 2025	6,550.29	6,555.97	6,516.34	6,532.04	6,532.04	5,253,010,000
Sep 9, 2025	6,503.33	6,518.23	6,483.08	6,512.61	6,512.61	4,798,350,000
Sep 8, 2025	6,498.09	6,508.67	6,483.29	6,495.15	6,495.15	5,211,500,000
Sep 5, 2025	6,529.08	6,532.65	6,443.98	6,481.50	6,481.50	5,066,120,000
Sep 4, 2025	6,456.60	6,502.54	6,445.98	6,502.08	6,502.08	4,670,770,000
Sep 3, 2025	6,445.82	6,453.67	6,416.17	6,448.26	6,448.26	4,465,360,000
Sep 2, 2025	6,401.51	6,416.54	6,360.58	6,415.54	6,415.54	4,784,000,000
Aug 29, 2025	6,489.28	6,491.76	6,444.57	6,460.26	6,460.26	4,234,840,000
Aug 28, 2025	6,483.84	6,508.23	6,466.96	6,501.86	6,501.86	4,283,760,000
Aug 27, 2025	6,462.26	6,487.06	6,457.84	6,481.40	6,481.40	4,143,680,000
Aug 26, 2025	6,435.49	6,468.37	6,429.21	6,465.94	6,465.94	4,867,680,000
Aug 25, 2025	6,457.67	6,466.89	6,438.06	6,439.32	6,439.32	4,059,070,000
Aug 22, 2025	6,384.59	6,478.89	6,384.59	6,466.91	6,466.91	5,046,860,000
Aug 21, 2025	6,380.83	6,393.65	6,352.71	6,370.17	6,370.17	4,013,560,000
Aug 20, 2025	6,406.62	6,408.40	6,343.86	6,395.78	6,395.78	4,470,390,000
Aug 19, 2025	6,446.24	6,456.48	6,400.22	6,411.37	6,411.37	4,377,440,000
Aug 18, 2025	6,445.02	6,455.35	6,437.70	6,449.15	6,449.15	4,162,290,000
Aug 15, 2025	6,477.38	6,481.34	6,441.85	6,449.80	6,449.80	4,575,060,000
Aug 14, 2025	6,453.46	6,473.92	6,441.07	6,468.54	6,468.54	4,462,050,000
Aug 13, 2025	6,462.67	6,480.28	6,445.02	6,466.58	6,466.58	5,195,950,000
Aug 12, 2025	6,395.17	6,446.55	6,385.76	6,445.76	6,445.76	5,135,300,000
Aug 11, 2025	6,389.67	6,407.25	6,364.06	6,373.45	6,373.45	4,652,400,000
Aug 8, 2025	6,355.22	6,395.16	6,355.22	6,389.45	6,389.45	4,769,910,000
Aug 7, 2025	6,374.32	6,389.71	6,310.32	6,340.00	6,340.00	5,306,090,000
Aug 6, 2025	6,309.30	6,352.83	6,301.11	6,345.06	6,345.06	5,408,560,000
Aug 5, 2025	6,336.63	6,346.00	6,289.37	6,299.19	6,299.19	5,517,410,000
Aug 4, 2025	6,271.71	6,330.69	6,271.71	6,329.94	6,329.94	4,842,580,000
Aug 1, 2025	6,287.28	6,287.28	6,212.69	6,238.01	6,238.01	5,827,150,000
Jul 31, 2025	6,427.02	6,427.02	6,327.64	6,339.39	6,339.39	6,077,080,000
Jul 30, 2025	6,381.23	6,396.54	6,336.38	6,362.90	6,362.90	5,375,070,000
Jul 29, 2025	6,405.62	6,409.26	6,363.92	6,370.86	6,370.86	5,076,120,000
Jul 28, 2025	6,397.69	6,401.07	6,375.79	6,389.77	6,389.77	4,565,620,000
Jul 25, 2025	6,370.01	6,395.82	6,368.53	6,388.64	6,388.64	4,470,720,000
Jul 24, 2025	6,368.60	6,381.31	6,360.57	6,363.35	6,363.35	5,282,720,000
Jul 23, 2025	6,326.90	6,360.64	6,317.49	6,358.91	6,358.91	5,642,510,000
Jul 22, 2025	6,306.60	6,316.12	6,281.71	6,309.62	6,309.62	5,662,040,000
Jul 21, 2025	6,304.74	6,336.08	6,303.79	6,305.60	6,305.60	5,010,840,000
Jul 18, 2025	6,312.95	6,315.61	6,285.27	6,296.79	6,296.79	5,184,700,000
Jul 17, 2025	6,263.40	6,304.69	6,262.27	6,297.36	6,297.36	5,512,290,000
Jul 16, 2025	6,254.50	6,268.12	6,201.59	6,263.70	6,263.70	5,177,460,000
Jul 15, 2025	6,295.29	6,302.04	6,241.68	6,243.76	6,243.76	5,133,670,000
Jul 14, 2025	6,255.15	6,273.31	6,239.22	6,268.56	6,268.56	4,722,250,000
Jul 11, 2025	6,255.68	6,269.44	6,237.60	6,259.75	6,259.75	4,656,210,000
Jul 10, 2025	6,266.80	6,290.22	6,251.44	6,280.46	6,280.46	5,367,350,000
Jul 9, 2025	6,243.33	6,269.16	6,231.43	6,263.26	6,263.26	4,813,340,000
Jul 8, 2025	6,234.03	6,242.70	6,217.75	6,225.52	6,225.52	5,739,030,000
Jul 7, 2025	6,259.04	6,262.07	6,201.00	6,229.98	6,229.98	5,236,740,000
Jul 3, 2025	6,246.46	6,284.65	6,246.46	6,279.35	6,279.35	3,378,110,000
Jul 2, 2025	6,193.88	6,227.60	6,188.29	6,227.42	6,227.42	5,645,710,000
Jul 1, 2025	6,187.25	6,210.78	6,177.97	6,198.01	6,198.01	6,275,310,000
Jun 30, 2025	6,193.36	6,215.08	6,174.97	6,204.95	6,204.95	5,782,900,000
Jun 27, 2025	6,150.70	6,187.68	6,132.35	6,173.07	6,173.07	7,889,350,000
Jun 26, 2025	6,112.09	6,146.52	6,107.27	6,141.02	6,141.02	5,308,140,000
Jun 25, 2025	6,104.23	6,108.51	6,080.09	6,092.16	6,092.16	5,171,110,000
Jun 24, 2025	6,061.21	6,101.76	6,059.25	6,092.18	6,092.18	5,443,690,000
Jun 23, 2025	5,969.67	6,028.77	5,943.23	6,025.17	6,025.17	5,597,000,000
Jun 20, 2025	5,999.67	6,018.20	5,952.56	5,967.84	5,967.84	7,451,500,000
Jun 18, 2025	5,987.93	6,018.25	5,971.89	5,980.87	5,980.87	5,106,470,000
Jun 17, 2025	6,012.15	6,023.25	5,974.80	5,982.72	5,982.72	4,955,700,000
Jun 16, 2025	6,004.00	6,050.83	6,004.00	6,033.11	6,033.11	5,111,710,000
Jun 13, 2025	6,000.56	6,026.16	5,963.21	5,976.97	5,976.97	5,258,910,000
Jun 12, 2025	6,009.90	6,045.43	6,003.88	6,045.26	6,045.26	4,669,500,000
Jun 11, 2025	6,049.38	6,059.40	6,002.32	6,022.24	6,022.24	5,111,550,000
Jun 10, 2025	6,009.91	6,043.01	6,000.28	6,038.81	6,038.81	4,882,880,000
Jun 9, 2025	6,004.63	6,021.31	5,994.18	6,005.88	6,005.88	4,642,360,000
Jun 6, 2025	5,987.06	6,016.87	5,978.63	6,000.36	6,000.36	4,355,710,000
Jun 5, 2025	5,985.67	5,999.70	5,921.20	5,939.30	5,939.30	5,091,850,000
Jun 4, 2025	5,978.94	5,990.48	5,966.11	5,970.81	5,970.81	4,767,050,000
Jun 3, 2025	5,938.56	5,981.35	5,929.00	5,970.37	5,970.37	5,026,680,000
Jun 2, 2025	5,896.68	5,937.40	5,861.43	5,935.94	5,935.94	4,832,240,000
May 30, 2025	5,903.67	5,922.14	5,843.66	5,911.69	5,911.69	6,378,540,000
May 29, 2025	5,939.96	5,943.13	5,873.80	5,912.17	5,912.17	4,569,750,000
May 28, 2025	5,925.54	5,939.92	5,881.88	5,888.55	5,888.55	4,665,050,000
May 27, 2025	5,854.07	5,924.33	5,854.07	5,921.54	5,921.54	5,366,380,000
May 23, 2025	5,781.89	5,829.51	5,767.41	5,802.82	5,802.82	4,662,820,000
May 22, 2025	5,841.26	5,878.08	5,825.82	5,842.01	5,842.01	5,157,050,000
May 21, 2025	5,910.18	5,938.37	5,830.91	5,844.61	5,844.61	5,254,250,000
May 20, 2025	5,944.66	5,953.06	5,909.26	5,940.46	5,940.46	4,416,850,000
May 19, 2025	5,902.88	5,968.61	5,895.69	5,963.60	5,963.60	4,144,010,000
May 16, 2025	5,929.09	5,958.62	5,907.36	5,958.38	5,958.38	4,850,850,000
May 15, 2025	5,869.82	5,924.21	5,865.16	5,916.93	5,916.93	4,991,290,000
May 14, 2025	5,896.74	5,906.55	5,872.11	5,892.58	5,892.58	5,233,450,000
May 13, 2025	5,854.15	5,906.64	5,845.02	5,886.55	5,886.55	5,516,290,000
May 12, 2025	5,807.20	5,845.37	5,786.08	5,844.19	5,844.19	6,014,580,000
May 9, 2025	5,679.65	5,691.69	5,644.15	5,659.91	5,659.91	4,645,090,000
May 8, 2025	5,663.60	5,720.10	5,635.38	5,663.94	5,663.94	5,627,400,000
May 7, 2025	5,614.18	5,654.73	5,578.64	5,631.28	5,631.28	4,987,440,000
May 6, 2025	5,605.87	5,649.58	5,586.04	5,606.91	5,606.91	4,717,260,000
May 5, 2025	5,655.32	5,683.38	5,634.48	5,650.38	5,650.38	4,358,260,000
May 2, 2025	5,645.88	5,700.70	5,642.28	5,686.67	5,686.67	4,854,380,000
May 1, 2025	5,625.14	5,658.91	5,597.35	5,604.14	5,604.14	4,935,270,000
Apr 30, 2025	5,499.44	5,581.84	5,433.24	5,569.06	5,569.06	5,449,490,000
Apr 29, 2025	5,508.87	5,571.95	5,505.70	5,560.83	5,560.83	4,747,150,000
Apr 28, 2025	5,529.22	5,553.66	5,468.64	5,528.75	5,528.75	4,257,880,000
Apr 25, 2025	5,489.73	5,528.11	5,455.86	5,525.21	5,525.21	4,236,580,000
Apr 24, 2025	5,381.38	5,489.40	5,371.96	5,484.77	5,484.77	4,697,710,000
Apr 23, 2025	5,395.92	5,469.69	5,356.17	5,375.86	5,375.86	5,371,390,000
Apr 22, 2025	5,207.67	5,309.61	5,207.67	5,287.76	5,287.76	4,666,950,000
Apr 21, 2025	5,232.94	5,232.94	5,101.63	5,158.20	5,158.20	4,226,340,000
Apr 17, 2025	5,305.45	5,328.31	5,255.58	5,282.70	5,282.70	4,714,880,000
Apr 16, 2025	5,335.75	5,367.24	5,220.79	5,275.70	5,275.70	4,607,750,000
Apr 15, 2025	5,411.99	5,450.41	5,386.44	5,396.63	5,396.63	4,317,110,000
Apr 14, 2025	5,441.96	5,459.46	5,358.02	5,405.97	5,405.97	5,031,440,000
